Molecule List Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Molecule List
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InH2O_1,Trimethylamine,6.98,78683512,3883642,4556939,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InH2O_2,Trimethylamine,6.84,77287544,0,4370157,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InH2O_1,Trimethylamine,5.9,1204826,0,70137,2.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InH2O_2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InSynMatrix_1,Trimethylamine,6.82,80282280,0,4481611,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InSynMatrix_2,Trimethylamine,6.84,84662888,0,4057059,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InSynMatrix_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InSynMatrix_2,Trimethylamine,6.8,1687236,0,189701,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_H2OinSynMatrix_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_H2OinSynMatrix_2,Trimethylamine,5.61,613369,0,129690,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Full1,Trimethylamine,5.34,1463603,0,109438,2.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Full2,Trimethylamine,6.56,1875186,0,140553,2.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Full3,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Half1,Trimethylamine,5.44,574186,0,66717,2.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Half2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Half3,Trimethylamine,5.56,676760,0,99508,1.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_25ppt_A,Trimethylamine,6.8,821019,0,73165,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_25ppt_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_25ppt_Blk,Trimethylamine,5.91,1114426,0,78086,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_30ppt_A,Trimethylamine,5.63,832341,0,78309,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_30ppt_B,Trimethylamine,5.34,1093694,0,66732,2.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_30ppt_Blk,Trimethylamine,6.5,567629,0,62878,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_35ppt_A,Trimethylamine,5.42,629765,231128,70274,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_35ppt_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_35ppt_Blk,Trimethylamine,6.03,829984,0,115474,1.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_40ppt_A,Trimethylamine,5.88,845871,0,474531,-0.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_40ppt_B,Trimethylamine,5.61,684506,0,99984,3.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Smp_40ppt_Blk,Trimethylamine,5.91,620263,0,115412,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InH2O_1,Propylamine,6.98,79525640,1148251,4591212,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InH2O_2,Propylamine,6.84,77287544,0,4370157,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InH2O_1,Propylamine,15.65,114335728,4721445,3485679,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InH2O_2,Propylamine,16.85,292761472,884441,7487894,2.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InSynMatrix_1,Propylamine,6.82,80282280,0,4481611,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix1InSynMatrix_2,Propylamine,6.84,84662888,0,4057059,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InSynMatrix_1,Propylamine,15.46,339367968,4082081,6874070,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_4uMStdsMix2InSynMatrix_2,Propylamine,15.75,317076000,15970170,5644035,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_H2OinSynMatrix_1,Propylamine,0.14,3231848,0,221481,2.2,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Std_H2OinSynMatrix_2,Propylamine,0.14,7839591,0,689045,2.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Full1,Propylamine,0.1,9136589,0,3197091,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Full2,Propylamine,0.14,3721813,0,445413,2.2,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Full3,Propylamine,0.13,5260377,0,698620,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240108_Poo_Syn_Half1,Propylamine,0.14,3051788,0,484375,2.5,HILIC_Pos_Standards
