samp,cmpd_name,bmis_area,sal,conc
240108_Poo_Syn_Full1,(3-Carboxypropyl)trimethylammonium,311417.8022207109,NA,0
240108_Poo_Syn_Full2,(3-Carboxypropyl)trimethylammonium,343833.62451592705,NA,0
240108_Poo_Syn_Full3,(3-Carboxypropyl)trimethylammonium,59804.55675469281,NA,0
240108_Poo_Syn_Half1,(3-Carboxypropyl)trimethylammonium,150837.12067290882,NA,0
240108_Poo_Syn_Half2,(3-Carboxypropyl)trimethylammonium,425942.17092392745,NA,0
240108_Poo_Syn_Half3,(3-Carboxypropyl)trimethylammonium,680851.8381099914,NA,0
240108_Smp_25ppt_A,(3-Carboxypropyl)trimethylammonium,2783312.294831314,25,0
240108_Smp_25ppt_B,(3-Carboxypropyl)trimethylammonium,30640.470086775742,25,0
240108_Smp_25ppt_Blk,(3-Carboxypropyl)trimethylammonium,42088.939481186855,25,0
240108_Smp_30ppt_A,(3-Carboxypropyl)trimethylammonium,54034.39224441984,30,0
240108_Smp_30ppt_B,(3-Carboxypropyl)trimethylammonium,NA,30,0
240108_Smp_30ppt_Blk,(3-Carboxypropyl)trimethylammonium,42471.03083381683,30,0
240108_Smp_35ppt_A,(3-Carboxypropyl)trimethylammonium,70015.3007917003,35,0
240108_Smp_35ppt_B,(3-Carboxypropyl)trimethylammonium,92487.48911008419,35,0
240108_Smp_35ppt_Blk,(3-Carboxypropyl)trimethylammonium,55020.415988521374,35,0
240108_Smp_40ppt_A,(3-Carboxypropyl)trimethylammonium,57421.28500764796,40,0
240108_Smp_40ppt_B,(3-Carboxypropyl)trimethylammonium,97064.68118594323,40,0
240108_Smp_40ppt_Blk,(3-Carboxypropyl)trimethylammonium,409736.00690902345,40,0
240108_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,NA,NA,4
240108_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,NA,NA,4
