samp,cmpd_name,area,cmpd_type,samp_type,sal,conc
240108_Poo_Syn_Full1,(3-Carboxypropyl)trimethylammonium,253396,S,Poo,NA,0
240108_Poo_Syn_Full2,(3-Carboxypropyl)trimethylammonium,355862,S,Poo,NA,0
240108_Poo_Syn_Full3,(3-Carboxypropyl)trimethylammonium,74057,S,Poo,NA,0
240108_Poo_Syn_Half1,(3-Carboxypropyl)trimethylammonium,86358,S,Poo,NA,0
240108_Poo_Syn_Half2,(3-Carboxypropyl)trimethylammonium,236763,S,Poo,NA,0
240108_Poo_Syn_Half3,(3-Carboxypropyl)trimethylammonium,506271,S,Poo,NA,0
240108_Smp_25ppt_A,(3-Carboxypropyl)trimethylammonium,2783522,S,Smp,25,0
240108_Smp_25ppt_B,(3-Carboxypropyl)trimethylammonium,35407,S,Smp,25,0
240108_Smp_25ppt_Blk,(3-Carboxypropyl)trimethylammonium,52528,S,Smp,25,0
240108_Smp_30ppt_A,(3-Carboxypropyl)trimethylammonium,59684,S,Smp,30,0
240108_Smp_30ppt_B,(3-Carboxypropyl)trimethylammonium,NA,S,Smp,30,0
240108_Smp_30ppt_Blk,(3-Carboxypropyl)trimethylammonium,48172,S,Smp,30,0
240108_Smp_35ppt_A,(3-Carboxypropyl)trimethylammonium,55942,S,Smp,35,0
240108_Smp_35ppt_B,(3-Carboxypropyl)trimethylammonium,72118,S,Smp,35,0
240108_Smp_35ppt_Blk,(3-Carboxypropyl)trimethylammonium,63660,S,Smp,35,0
240108_Smp_40ppt_A,(3-Carboxypropyl)trimethylammonium,69775,S,Smp,40,0
240108_Smp_40ppt_B,(3-Carboxypropyl)trimethylammonium,116029,S,Smp,40,0
240108_Smp_40ppt_Blk,(3-Carboxypropyl)trimethylammonium,471330,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,3196733696,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,4449897984,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,(3-Carboxypropyl)trimethylammonium,3771670016,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,(3-Carboxypropyl)trimethylammonium,3958096896,S,Std,NA,4
240108_Poo_Syn_Full1,(R)-2-(Methylamino)pentanedioic acid,1472069,S,Poo,NA,0
240108_Poo_Syn_Full2,(R)-2-(Methylamino)pentanedioic acid,1344071,S,Poo,NA,0
240108_Poo_Syn_Full3,(R)-2-(Methylamino)pentanedioic acid,1911133,S,Poo,NA,0
240108_Poo_Syn_Half1,(R)-2-(Methylamino)pentanedioic acid,2514478,S,Poo,NA,0
240108_Poo_Syn_Half2,(R)-2-(Methylamino)pentanedioic acid,2122025,S,Poo,NA,0
240108_Poo_Syn_Half3,(R)-2-(Methylamino)pentanedioic acid,2589734,S,Poo,NA,0
240108_Smp_25ppt_A,(R)-2-(Methylamino)pentanedioic acid,1243038,S,Smp,25,0
240108_Smp_25ppt_B,(R)-2-(Methylamino)pentanedioic acid,2021805,S,Smp,25,0
240108_Smp_25ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,153360,S,Smp,25,0
240108_Smp_30ppt_A,(R)-2-(Methylamino)pentanedioic acid,1772923,S,Smp,30,0
240108_Smp_30ppt_B,(R)-2-(Methylamino)pentanedioic acid,2212533,S,Smp,30,0
240108_Smp_30ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,0,S,Smp,30,0
240108_Smp_35ppt_A,(R)-2-(Methylamino)pentanedioic acid,4290374,S,Smp,35,0
240108_Smp_35ppt_B,(R)-2-(Methylamino)pentanedioic acid,2973288,S,Smp,35,0
240108_Smp_35ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,0,S,Smp,35,0
240108_Smp_40ppt_A,(R)-2-(Methylamino)pentanedioic acid,1152462,S,Smp,40,0
240108_Smp_40ppt_B,(R)-2-(Methylamino)pentanedioic acid,1542637,S,Smp,40,0
240108_Smp_40ppt_Blk,(R)-2-(Methylamino)pentanedioic acid,0,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,(R)-2-(Methylamino)pentanedioic acid,1146881792,S,Std,NA,5
240108_Std_4uMStdsMix2InH2O_2,(R)-2-(Methylamino)pentanedioic acid,2285247744,S,Std,NA,5
240108_Std_4uMStdsMix2InSynMatrix_1,(R)-2-(Methylamino)pentanedioic acid,583391616,S,Std,NA,5
240108_Std_4uMStdsMix2InSynMatrix_2,(R)-2-(Methylamino)pentanedioic acid,758554688,S,Std,NA,5
240108_Poo_Syn_Full1,"2,3-Pyridinedicarboxylic acid",1072738,S,Poo,NA,0
240108_Poo_Syn_Full2,"2,3-Pyridinedicarboxylic acid",417405,S,Poo,NA,0
240108_Poo_Syn_Full3,"2,3-Pyridinedicarboxylic acid",1609440,S,Poo,NA,0
240108_Poo_Syn_Half1,"2,3-Pyridinedicarboxylic acid",284672,S,Poo,NA,0
240108_Poo_Syn_Half2,"2,3-Pyridinedicarboxylic acid",262272,S,Poo,NA,0
240108_Poo_Syn_Half3,"2,3-Pyridinedicarboxylic acid",433418,S,Poo,NA,0
240108_Smp_25ppt_A,"2,3-Pyridinedicarboxylic acid",726882,S,Smp,25,0
240108_Smp_25ppt_B,"2,3-Pyridinedicarboxylic acid",1089148,S,Smp,25,0
240108_Smp_25ppt_Blk,"2,3-Pyridinedicarboxylic acid",1166222,S,Smp,25,0
240108_Smp_30ppt_A,"2,3-Pyridinedicarboxylic acid",724183,S,Smp,30,0
240108_Smp_30ppt_B,"2,3-Pyridinedicarboxylic acid",445596,S,Smp,30,0
240108_Smp_30ppt_Blk,"2,3-Pyridinedicarboxylic acid",2009808,S,Smp,30,0
240108_Smp_35ppt_A,"2,3-Pyridinedicarboxylic acid",614423,S,Smp,35,0
240108_Smp_35ppt_B,"2,3-Pyridinedicarboxylic acid",1279342,S,Smp,35,0
240108_Smp_35ppt_Blk,"2,3-Pyridinedicarboxylic acid",4389913,S,Smp,35,0
240108_Smp_40ppt_A,"2,3-Pyridinedicarboxylic acid",145503,S,Smp,40,0
240108_Smp_40ppt_B,"2,3-Pyridinedicarboxylic acid",479650,S,Smp,40,0
240108_Smp_40ppt_Blk,"2,3-Pyridinedicarboxylic acid",1224935,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,"2,3-Pyridinedicarboxylic acid",273727360,S,Std,NA,5
240108_Std_4uMStdsMix2InH2O_2,"2,3-Pyridinedicarboxylic acid",318519040,S,Std,NA,5
240108_Std_4uMStdsMix2InSynMatrix_1,"2,3-Pyridinedicarboxylic acid",276328544,S,Std,NA,5
240108_Std_4uMStdsMix2InSynMatrix_2,"2,3-Pyridinedicarboxylic acid",379326112,S,Std,NA,5
240108_Poo_Syn_Full1,2-Heptyl-3-hydroxy-quinolone,413910,S,Poo,NA,0
240108_Poo_Syn_Full2,2-Heptyl-3-hydroxy-quinolone,70210,S,Poo,NA,0
240108_Poo_Syn_Full3,2-Heptyl-3-hydroxy-quinolone,221263,S,Poo,NA,0
240108_Poo_Syn_Half1,2-Heptyl-3-hydroxy-quinolone,66309,S,Poo,NA,0
240108_Poo_Syn_Half2,2-Heptyl-3-hydroxy-quinolone,81561,S,Poo,NA,0
240108_Poo_Syn_Half3,2-Heptyl-3-hydroxy-quinolone,21911,S,Poo,NA,0
240108_Smp_25ppt_A,2-Heptyl-3-hydroxy-quinolone,207480,S,Smp,25,0
240108_Smp_25ppt_B,2-Heptyl-3-hydroxy-quinolone,319337,S,Smp,25,0
240108_Smp_25ppt_Blk,2-Heptyl-3-hydroxy-quinolone,67759,S,Smp,25,0
240108_Smp_30ppt_A,2-Heptyl-3-hydroxy-quinolone,51050,S,Smp,30,0
240108_Smp_30ppt_B,2-Heptyl-3-hydroxy-quinolone,88398,S,Smp,30,0
240108_Smp_30ppt_Blk,2-Heptyl-3-hydroxy-quinolone,65233,S,Smp,30,0
240108_Smp_35ppt_A,2-Heptyl-3-hydroxy-quinolone,203656,S,Smp,35,0
240108_Smp_35ppt_B,2-Heptyl-3-hydroxy-quinolone,56136,S,Smp,35,0
240108_Smp_35ppt_Blk,2-Heptyl-3-hydroxy-quinolone,116957,S,Smp,35,0
240108_Smp_40ppt_A,2-Heptyl-3-hydroxy-quinolone,130827,S,Smp,40,0
240108_Smp_40ppt_B,2-Heptyl-3-hydroxy-quinolone,329845,S,Smp,40,0
240108_Smp_40ppt_Blk,2-Heptyl-3-hydroxy-quinolone,331375,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,2-Heptyl-3-hydroxy-quinolone,262402032,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,2-Heptyl-3-hydroxy-quinolone,231337328,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,2-Heptyl-3-hydroxy-quinolone,887005568,S,Std,NA,4
