cmpd_name,samp,nm,sal
(3-Carboxypropyl)trimethylammonium,240108_Poo_Syn_Full1,32362239045686.145,NA
(3-Carboxypropyl)trimethylammonium,240108_Poo_Syn_Full2,35730860179415.6,NA
(3-Carboxypropyl)trimethylammonium,240108_Poo_Syn_Full3,6214832125573.192,NA
(3-Carboxypropyl)trimethylammonium,240108_Poo_Syn_Half1,15674848776692.836,NA
(3-Carboxypropyl)trimethylammonium,240108_Poo_Syn_Half2,44263501497930.45,NA
(3-Carboxypropyl)trimethylammonium,240108_Poo_Syn_Half3,70753469398625.72,NA
(3-Carboxypropyl)trimethylammonium,240108_Smp_25ppt_A,289239141699067.1,25
(3-Carboxypropyl)trimethylammonium,240108_Smp_25ppt_B,3184128236566.452,25
(3-Carboxypropyl)trimethylammonium,240108_Smp_25ppt_Blk,4373842185503.0356,25
(3-Carboxypropyl)trimethylammonium,240108_Smp_30ppt_A,5615202169023.555,30
(3-Carboxypropyl)trimethylammonium,240108_Smp_30ppt_B,NA,30
(3-Carboxypropyl)trimethylammonium,240108_Smp_30ppt_Blk,4413548752060.645,30
(3-Carboxypropyl)trimethylammonium,240108_Smp_35ppt_A,7275922843584.735,35
(3-Carboxypropyl)trimethylammonium,240108_Smp_35ppt_B,9611211080330.406,35
(3-Carboxypropyl)trimethylammonium,240108_Smp_35ppt_Blk,5717668809927.792,35
(3-Carboxypropyl)trimethylammonium,240108_Smp_40ppt_A,5967164813561.169,40
(3-Carboxypropyl)trimethylammonium,240108_Smp_40ppt_B,10086868486749.283,40
(3-Carboxypropyl)trimethylammonium,240108_Smp_40ppt_Blk,42579372491419.086,40
(R)-2-(Methylamino)pentanedioic acid,240108_Poo_Syn_Full1,-4198614552620664.5,NA
(R)-2-(Methylamino)pentanedioic acid,240108_Poo_Syn_Full2,-4069208403509147,NA
(R)-2-(Methylamino)pentanedioic acid,240108_Poo_Syn_Full3,-6291469852198271,NA
(R)-2-(Methylamino)pentanedioic acid,240108_Poo_Syn_Half1,-10463058399597710,NA
(R)-2-(Methylamino)pentanedioic acid,240108_Poo_Syn_Half2,-8203288622419246,NA
(R)-2-(Methylamino)pentanedioic acid,240108_Poo_Syn_Half3,-10008777425562272,NA
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_25ppt_A,-1775497992788855.8,25
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_25ppt_B,-2796379490152716,25
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_25ppt_Blk,-155431751287764.75,25
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_30ppt_A,-3673617353359153.5,30
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_30ppt_B,-5365421704146672,30
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_30ppt_Blk,-0,30
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_35ppt_A,-22551979780883496,35
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_35ppt_B,-15352065827246926,35
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_35ppt_Blk,-0,35
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_40ppt_A,-5066137998535616,40
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_40ppt_B,-7276937582434298,40
(R)-2-(Methylamino)pentanedioic acid,240108_Smp_40ppt_Blk,-0,40
"2,3-Pyridinedicarboxylic acid",240108_Poo_Syn_Full1,71036465183552.73,NA
"2,3-Pyridinedicarboxylic acid",240108_Poo_Syn_Full2,27418778901253.484,NA
"2,3-Pyridinedicarboxylic acid",240108_Poo_Syn_Full3,67528908581102.08,NA
"2,3-Pyridinedicarboxylic acid",240108_Poo_Syn_Half1,36508518900448.734,NA
"2,3-Pyridinedicarboxylic acid",240108_Poo_Syn_Half2,36280828756846.984,NA
"2,3-Pyridinedicarboxylic acid",240108_Poo_Syn_Half3,37703912147348.02,NA
"2,3-Pyridinedicarboxylic acid",240108_Smp_25ppt_A,40027910557016.02,25
"2,3-Pyridinedicarboxylic acid",240108_Smp_25ppt_B,58568019316113.44,25
"2,3-Pyridinedicarboxylic acid",240108_Smp_25ppt_Blk,69680580429169.086,25
"2,3-Pyridinedicarboxylic acid",240108_Smp_30ppt_A,45008064087098.3,30
"2,3-Pyridinedicarboxylic acid",240108_Smp_30ppt_B,27460840634058.406,30
"2,3-Pyridinedicarboxylic acid",240108_Smp_30ppt_Blk,136079523141136.4,30
"2,3-Pyridinedicarboxylic acid",240108_Smp_35ppt_A,45890000232998.14,35
"2,3-Pyridinedicarboxylic acid",240108_Smp_35ppt_B,103361999665291.44,35
"2,3-Pyridinedicarboxylic acid",240108_Smp_35ppt_Blk,265577004342227.53,35
"2,3-Pyridinedicarboxylic acid",240108_Smp_40ppt_A,6775455289743.163,40
"2,3-Pyridinedicarboxylic acid",240108_Smp_40ppt_B,22866097259522.953,40
"2,3-Pyridinedicarboxylic acid",240108_Smp_40ppt_Blk,68550022469622.97,40
2-Heptyl-3-hydroxy-quinolone,240108_Poo_Syn_Full1,401113783939435.4,NA
2-Heptyl-3-hydroxy-quinolone,240108_Poo_Syn_Full2,74251270630160.95,NA
2-Heptyl-3-hydroxy-quinolone,240108_Poo_Syn_Full3,242994361352986.9,NA
2-Heptyl-3-hydroxy-quinolone,240108_Poo_Syn_Half1,139012352847655.03,NA
2-Heptyl-3-hydroxy-quinolone,240108_Poo_Syn_Half2,161262829979749.16,NA
2-Heptyl-3-hydroxy-quinolone,240108_Poo_Syn_Half3,42522548183899.11,NA
2-Heptyl-3-hydroxy-quinolone,240108_Smp_25ppt_A,197203508416648.53,25
2-Heptyl-3-hydroxy-quinolone,240108_Smp_25ppt_B,315892340116391.25,25
2-Heptyl-3-hydroxy-quinolone,240108_Smp_25ppt_Blk,74154420223433,25
2-Heptyl-3-hydroxy-quinolone,240108_Smp_30ppt_A,51924336449901.41,30
2-Heptyl-3-hydroxy-quinolone,240108_Smp_30ppt_B,94179682235221.69,30
2-Heptyl-3-hydroxy-quinolone,240108_Smp_30ppt_Blk,65427885659076.91,30
2-Heptyl-3-hydroxy-quinolone,240108_Smp_35ppt_A,295172590734577.94,35
2-Heptyl-3-hydroxy-quinolone,240108_Smp_35ppt_B,81420729716625.72,35
